,price
20775,9046
32674,803
47183,530
41591,1243
33857,465
53268,2670
52268,2512
43124,1400
34538,872
18896,7783
857,2870
45144,1662
6633,4092
35880,921
45527,1694
31628,771
24115,12342
50310,2264
20996,625
8777,4472
5533,3856
39097,1066
26210,15746
40046,1117
37671,1000
26602,16484
32984,814
1877,3074
33445,829
39641,1094
10512,4807
13396,5515
10115,4722
21524,9668
23787,11923
11449,5014
52806,552
39592,1090
24683,13084
6605,4084
26413,16059
40942,1192
13039,5412
967,2892
19438,8115
14169,5759
747,557
46020,1746
29537,439
1032,2905
30548,734
43315,1415
25067,13675
33338,828
51529,2398
19214,7986
50602,2297
5270,3799
4283,3588
24138,12379
40715,1173
43012,1389
47951,1933
12457,5255
53786,2757
6758,4111
43746,1453
4903,3725
6693,412
9985,4707
48401,1988
23715,11825
33504,833
41960,1273
6935,4144
22458,10546
34251,862
17704,7144
32659,803
18869,7761
45519,526
28107,666
22460,10548
17346,612
28216,367
3847,3478
12024,596
24984,641
3075,3313
40445,1152
13378,603
41379,1235
25066,13675
45597,1699
7849,4308
48735,2036
3563,3419
23848,12013
9672,589
41122,500
44224,1580
3766,3461
14261,5787
37677,1000
2029,3105
48750,2039
33133,821
47810,1917
7193,4191
24635,638
15665,607
34392,867
30092,721
9656,4648
30128,723
46874,1819
36038,928
16144,6468
24350,12647
33476,830
2627,3229
37986,1013
18649,619
33423,829
2499,3199
9086,4529
34078,854
40802,499
49112,2087
36424,945
724,556
30004,720
3855,3478
50234,2250
48620,2016
36883,964
18295,7459
9625,4641
24545,12915
37293,983
31983,780
6330,4032
25687,14675
8929,4498
27972,659
8220,4373
47058,1838
19232,7999
22557,10659
17954,7277
40831,1179
38819,1053
25858,15064
51487,544
47600,1890
33640,839
3777,3462
22132,10219
39215,1072
12570,5287
13391,5511
20254,8711
3790,3465
25781,14889
42201,1297
37632,997
4237,3578
46034,1746
29572,706
27947,658
23789,11925
3973,3512
16617,6659
3356,407
25894,15132
47481,1881
37470,990
32965,814
11296,4987
2662,3238
28388,672
5102,3760
5548,3858
36832,478
40221,1129
2789,3260
40663,1168
37666,999
26834,16881
49229,2100
40951,1192
22177,10282
3548,3417
43782,513
6082,3975
31343,764
10530,4814
22374,10449
11402,5003
50025,2218
827,2866
21194,9384
44865,1637
23568,11646
23881,12066
41895,1267
34281,863
21640,9784
14545,5885
13356,601
31584,769
50582,2294
52440,2539
17721,7152
19529,8202
45797,1722
8092,4348
27239,17803
3452,3391
52961,2616
11476,5020
36167,936
25512,14408
37773,1006
44449,1607
52076,2482
18083,7338
49982,2211
14285,5800
4337,3601
10829,4873
25136,13786
2245,3150
52616,2562
31109,756
50608,2298
47354,1865
34668,876
26850,16929
10557,4821
36324,942
29540,439
52029,2475
42363,1320
36761,958
35253,898
22046,10113
9224,4559
28124,666
51151,2361
30415,732
18826,7738
53418,2695
14164,5759
10835,4875
32601,802
45672,1711
51587,2401
22381,10457
6920,4140
2304,3165
34802,880
7974,4327
19533,8204
1653,3023
25776,14866
49415,2130
23392,11435
37509,990
7117,4174
1243,2946
23001,11087
33512,462
29994,720
7679,4276
18585,7600
10399,4783
15671,608
5031,573
26330,15897
53713,2743
36851,480
31579,768
30852,449
5535,3856
19783,8393
45910,1731
45859,1724
38012,1013
30278,729
22157,10255
28909,685
11546,5038
33013,816
32945,814
46264,1766
35114,892
35964,924
25021,13598
41663,1249
44175,520
40359,1142
53566,2719
15124,6095
30218,447
17662,612
18999,621
16298,6533
32390,795
35225,898
42656,1350
47348,1864
16372,6552
23517,11579
7385,579
7956,4324
32108,788
39042,1063
18094,7343
8206,4372
16989,6797
22126,10214
3568,3420
16695,611
15599,6271
8223,4374
42612,1343
9924,4694
50338,2268
28050,663
40184,1125
20798,9069
13912,5673
31386,765
7947,4322
46941,1822
1204,2937
40051,1119
11868,5116
44991,1652
46505,526
11436,5010
24910,13462
44656,1624
22864,10957
10342,4773
48871,2052
38238,1020
5225,3787
1544,3002
32225,789
17554,7084
47873,1920
52828,552
1395,559
30343,730
49447,2136
43432,1431
38337,1028
4644,3669
13019,5408
24802,13267
34418,868
39166,491
51139,2360
41589,1243
42061,1286
21095,9296
24654,639
47798,1915
49668,2165
43757,509
25999,15261
18592,7602
45573,1698
48312,1975
24768,13215
17546,7079
25719,14745
46268,1767
21349,9511
3507,3404
19272,8024
41760,1259
46311,1773
12838,5364
29037,689
47984,1939
21489,9633
6027,576
51460,2394
22629,10728
33931,849
47920,1928
18444,7526
5323,3810
4009,3521
17683,614
37969,1013
24460,12798
30705,742
47140,394
32411,797
4543,3644
15127,6095
49480,540
5595,3872
22022,10090
27754,650
50196,2243
8684,586
45707,1715
12737,5327
49604,2156
46365,1778
7449,4234
49639,2161
9036,589
52063,2481
26357,15941
29861,715
53409,2694
44442,1607
22752,10825
4306,3595
31542,450
34193,857
44033,1566
35633,911
27295,646
38118,1017
53221,2657
53769,2753
15603,6272
51916,2453
8994,4514
44628,1621
6600,4082
2238,3148
7861,4309
37267,982
29221,436
14421,5833
19780,8388
20318,8752
9693,590
23353,11395
6552,4077
19349,8057
35994,926
52348,2524
23059,11133
27865,430
11968,5147
2300,3164
9287,4575
34468,871
9303,4579
27229,17765
7173,4187
6708,577
31166,758
25326,14071
26889,17017
41099,1207
42521,1333
4589,3659
27650,648
19174,7956
8592,4443
35082,891
18372,7485
7809,4297
53065,2635
50619,2300
21412,9555
49330,2114
9661,4649
43703,1446
25366,14165
10598,4830
22678,10748
39297,1076
41521,1238
29944,718
18329,616
39868,1107
3128,3328
51871,2445
20201,8674
43829,517
20186,8660
2824,3267
40109,1124
48733,2036
21463,9600
1647,3018
6206,4004
45160,1662
42286,1312
47747,1912
45522,526
5219,3787
41906,1268
36420,945
10463,4796
31938,778
51891,2450
42190,1295
11035,596
35493,907
740,557
52586,2558
11933,5138
32321,791
49663,2165
30153,723
26922,17068
41866,1264
47203,1845
24867,13370
22153,10243
15199,6115
11034,596
42347,1318
50699,2311
37088,974
51658,2415
27536,18468
36889,964
49070,2079
24525,12883
42871,1369
14668,605
5766,3902
43022,1389
21187,9377
36194,477
45044,1656
50737,2316
28821,684
38802,1052
8305,4391
2848,3273
13685,603
21308,9495
32185,789
21660,627
20913,9171
32098,788
6863,4130
35706,914
13661,5599
31189,449
39959,1114
32381,794
44863,1637
33027,816
21082,9290
52796,2593
47689,1906
43654,1441
42439,1327
47122,1843
52884,2602
20160,8643
44186,521
11121,4942
51400,2387
14894,6010
29967,719
45999,1745
43591,1438
15789,6333
18352,7473
38844,490
9830,4678
44558,1612
13371,602
15516,6237
13124,5443
29988,720
12181,5192
44044,1568
9666,4652
1977,3093
40922,1188
9713,4656
23873,12055
5940,3950
36131,933
11917,5132
39235,1073
36052,928
39674,1096
8278,4385
27807,654
25237,13949
20586,8924
50315,2264
14158,5758
41289,1226
6592,4082
46725,1813
22193,10293
49382,2123
5303,3805
48233,1964
19876,8467
13126,5443
17487,7055
40810,499
34726,878
49390,2125
48234,1964
15982,6411
42021,1282
13120,5439
51440,2393
53555,2717
1052,558
25417,14242
1984,3095
38753,1050
10798,4869
16403,6565
35071,891
31549,450
27124,17476
7738,4281
50865,2327
6459,4054
26575,16410
23872,12053
18862,7756
53383,2690
3945,3504
27651,648
940,2886
19652,624
14552,5886
21588,9728
25148,13803
50095,2233
45985,1743
53703,2741
22989,11069
16094,6449
14067,5718
42807,506
47478,1881
42836,1367
23974,12202
22672,10739
23491,11554
44076,1571
6675,408
16166,6477
24047,12257
675,2848
25070,13678
44939,1644
48729,2035
37818,485
23801,11946
21104,9302
14710,5937
7745,4283
18528,7573
40716,1173
16675,609
33581,837
53669,2735
17112,6847
7705,580
37168,483
36757,958
26939,17114
14747,5948
21807,9916
47911,1927
26032,15334
13094,5431
3391,567
36599,952
37026,971
49762,2180
24964,640
43452,1432
1521,2999
3076,3314
30044,720
19577,8235
24749,13190
4047,571
1554,3004
28280,667
17455,7031
4915,3729
29623,707
8582,4442
47371,1866
38932,1057
6312,4029
24422,12747
42654,1349
22445,10530
48238,1965
10591,4829
10229,4749
12214,5201
32971,814
36866,962
13876,5662
44373,1600
17089,6833
38983,1061
39703,1097
37023,971
3416,3384
23028,11108
26601,16483
516,2824
51092,2353
36842,480
20433,8818
29626,707
8608,4449
27919,658
24551,12929
35848,475
15443,6199
24190,12455
5991,3959
18080,7335
12692,5312
14148,5754
7001,4158
35889,921
20251,8709
46641,1805
18596,7603
8379,584
24627,13043
24202,12468
35800,918
19660,624
30970,751
24471,12818
23668,633
22091,10171
21583,9720
37248,982
98,2760
28041,663
38464,1035
44070,1569
28326,669
14597,5907
37717,1002
44050,1569
39119,1068
22464,10553
12477,5259
38420,1033
18817,7730
2388,561
48585,2012
14401,5828
38336,1028
44295,1590
5426,3829
11715,5073
37218,980
17723,7153
25134,13782
8276,4385
7911,4317
29864,444
36773,958
50790,2319
9289,4576
24470,12816
10539,4816
39251,1074
13660,5599
12351,598
3753,3457
17964,7281
48122,1955
9920,4693
37028,971
46166,526
19740,8348
46654,1806
2020,3105
31322,764
49111,2087
46551,1791
48978,2066
51199,2363
52109,2488
23336,631
46693,1809
10870,4884
8504,4427
32706,805
24208,12490
12007,596
24015,12210
50298,2263
16297,6533
42741,1358
5893,3935
13906,5671
24577,12968
6350,576
46597,1798
26554,16370
12110,5174
2507,3200
24219,12500
17571,7092
40053,1119
16752,6691
43010,1389
4253,3581
5742,3896
39732,1100
37357,984
39602,1091
36190,477
14624,5915
17815,7203
953,2889
37264,982
10271,4758
49658,2164
35792,918
22138,10222
27163,17592
19545,8214
37735,1002
4012,3522
10079,4715
38794,1052
38829,489
13683,603
2658,3236
6339,4035
43721,1448
47472,1881
45498,525
24913,13464
16781,6709
53413,2694
22781,10866
4361,3606
9401,4588
2666,3238
52218,2502
26106,15497
325,2802
9935,4699
22019,10090
33286,827
40198,1127
51625,2409
1500,2993
49360,2120
42163,505
40210,1129
39568,1088
3893,3492
38330,1028
37724,1002
51524,2398
847,2869
45021,1654
23337,631
14563,5889
7778,4290
22427,10501
49443,2135
39039,1063
11014,594
25726,14763
20057,8575
1096,2913
50397,2275
50287,2262
6757,4109
34784,879
16377,6557
37733,1002
40170,1125
20279,8736
52145,548
36706,956
30667,740
7290,4204
41487,504
23969,12196
34276,863
23484,11540
46981,1828
49568,2147
10284,4763
20211,8684
8140,4360
37258,982
25981,15240
47505,530
49155,539
20937,9193
48263,1969
51983,2467
39525,1087
26434,16098
26903,17045
2290,3161
10318,4769
24672,13068
27298,646
10171,4739
11550,5040
13602,5579
19271,8022
29067,692
44914,1641
8132,4356
16162,6474
27942,658
30,402
18367,7481
6981,4155
23156,11216
24710,13122
2295,3162
6119,3986
17516,7068
32680,803
31619,770
29194,698
25071,13680
14632,5919
42738,1358
19458,8133
13152,5451
23276,11374
11450,5014
24670,13065
44572,1614
24438,12770
46577,1793
1453,2978
18109,7354
14858,5996
34644,876
47379,1867
30793,743
53780,2756
33904,847
33884,847
39171,491
26779,16768
20864,9122
24420,12744
6404,4043
25516,14414
13486,5544
49886,2197
43460,507
47050,1837
29897,715
22493,10580
44282,1588
9430,4596
4615,3666
22971,630
26412,16055
27142,17530
8538,4434
53121,2648
6549,4077
15320,6164
16962,6787
32702,804
31534,450
18432,7520
51841,548
2194,3140
34323,863
39473,1084
25554,14482
44360,1599
25732,14775
53033,2630
34308,863
24739,13171
24128,12369
11141,4949
14170,5759
6730,579
46869,1819
13847,5650
49759,2179
9608,4637
13832,5646
46106,1753
9604,4637
9437,4598
5787,3908
21165,9354
53000,2622
22946,11051
49434,2133
24659,640
3277,3363
28447,674
34290,863
8551,4435
37517,990
44429,1605
5234,3790
15400,6181
14250,5783
32613,802
12830,5361
40707,1172
38639,1046
50511,544
22249,10342
1709,561
34793,880
34900,882
48841,538
5647,3881
16927,6776
35726,915
32034,784
41824,505
304,2800
48022,1942
29201,698
47743,1912
152,2770
5862,3925
41403,1235
35359,901
3445,3389
18619,7625
51235,2367
19498,8172
47052,1838
1418,2970
4702,572
18417,7508
18233,7421
5561,3862
7023,4162
29141,695
7374,579
15239,6132
25677,14662
16688,610
30088,721
42045,1286
41012,1197
11901,5126
24810,13286
13588,5572
19151,7943
10629,4837
30378,731
18081,7336
40160,496
52080,2484
15580,6265
45060,1656
22312,628
33899,847
7815,4299
44221,1580
37469,990
14188,5764
37769,1005
48774,2041
13897,5667
17819,7204
8256,4381
24877,13387
8694,586
6851,4128
4726,573
3257,3360
32173,789
48930,2059
40165,1125
50435,2279
32569,802
37627,997
17466,7037
34073,854
44485,1608
53412,2694
49536,2143
29142,695
33473,830
46084,1752
4832,3710
45586,1698
6133,3989
28496,675
4500,3633
46097,1752
25604,14578
17768,7177
2942,3294
41706,1253
4129,3544
6872,4133
7397,4224
41273,1223
48003,1940
42493,505
34981,886
33113,820
33331,828
32898,812
11682,596
48124,1956
37919,1010
12757,5331
20184,8658
5020,3749
18736,7677
30686,741
12440,5250
34186,468
16563,6630
43004,1388
49461,2137
38068,1015
49510,2141
44877,1637
9923,4694
10842,4876
2091,3114
52984,2618
2901,3284
19486,8162
5352,3817
29239,698
3628,3432
11426,5007
15742,6313
29993,720
49143,2092
39518,1085
29575,706
18224,7418
13920,5677
40527,1154
19600,8257
4201,3567
45174,524
25725,14759
29335,700
52877,2600
18786,7714
47856,533
47646,1897
53077,2639
6535,4072
21393,9541
19969,421
27511,18416
17066,6819
1362,2965
37426,988
2240,3148
21228,9425
51614,2407
6379,4037
37556,992
30944,749
36178,477
9405,4588
30862,449
19034,7849
2578,3215
2237,3148
32253,789
15279,6147
6902,4137
49168,540
23307,423
43607,1438
21211,9407
6274,4020
13032,5411
32757,807
15444,6200
4203,3567
48018,1942
19896,8486
21202,9397
12648,5306
33935,850
35125,893
17890,7240
1781,3050
13141,5445
16398,6563
32350,792
10157,4735
11709,5072
23837,11988
36879,964
37932,1011
4767,3694
38573,1041
32426,798
20516,8870
53711,2743
30243,726
491,2822
21115,9316
18686,7648
34482,871
19217,7987
31858,776
14711,5937
22317,628
31446,765
35339,900
17407,6997
11592,5050
34824,373
16164,6477
12400,5242
23919,12109
15469,6210
41931,1271
18169,7391
11264,4977
38190,487
643,2843
19241,8005
26860,16955
39872,1107
35586,911
7718,581
33283,827
33102,819
44767,1630
41636,1245
22021,10090
2718,564
29555,442
7557,4253
5726,3893
22283,10378
23417,11469
38375,1031
7870,4312
43495,1433
52920,2608
34150,855
4364,3607
24169,12418
22775,10859
35550,907
47109,1842
30625,738
33454,829
29384,702
6043,576
5170,3774
46817,527
791,2862
1543,3002
40362,1142
40923,1188
9349,589
44419,1605
11239,4970
48072,1949
9237,4561
48506,537
24467,12811
34391,867
48982,2066
21670,628
1285,2952
43496,1433
23829,11975
47106,1842
31780,776
11210,4965
17663,612
1043,2907
31361,765
42034,1286
32968,814
2681,3245
28427,673
25526,14426
47107,1842
29908,716
48210,1962
3169,3340
53293,2673
41211,1216
426,2813
5885,3932
21719,9831
43517,1435
34225,859
41649,1247
23469,11527
39024,1061
11,340
36697,956
1190,2933
3229,3353
31563,767
49981,2211
30385,732
932,2883
4172,3557
5356,574
22780,10863
29128,694
25312,642
23876,12060
37827,486
30420,732
48026,1943
39517,1085
48347,1980
22639,629
14944,6033
9998,413
4530,3640
2141,3126
13958,5696
50535,2288
51336,2379
23366,11409
23742,11854
24921,13485
12428,5248
11044,4921
44862,523
24731,13160
29364,700
26452,16148
17018,612
29719,709
46932,1822
14533,5882
49686,2167
17595,7102
2558,3210
23998,635
40949,1192
39926,1112
35632,911
12783,5345
26459,16170
50415,2277
45303,1672
51970,2462
50522,544
46471,1786
20222,8689
23920,12111
6885,4135
1533,3001
50453,2283
43500,1433
9002,4515
957,2890
31330,764
31596,769
2760,3251
52622,2563
30813,744
52372,2528
28191,357
6314,4029
18197,7406
23467,11526
369,2808
31383,765
5030,573
50985,2340
34777,878
45089,1657
23056,11132
36823,478
21720,9831
26307,645
27141,17525
50987,2340
8871,4488
26637,645
42749,1359
30007,720
11797,5096
27999,661
35563,907
39301,1076
41947,1273
18959,7822
12143,5182
21434,9576
41009,1197
7886,4313
19841,8431
33775,844
35615,911
31679,773
10378,593
50962,2337
37572,993
47559,1883
5661,3884
3309,3372
10502,4805
39616,1093
28559,434
3056,3311
1905,3080
165,2772
31777,776
4156,3553
943,2887
27736,650
26298,645
52679,2573
46485,526
53154,552
43486,1433
39508,1084
11905,5127
2294,3162
6803,4118
43748,1453
13484,5544
20443,8820
46360,1778
49087,2083
20474,8848
38527,1040
42448,1329
13024,5410
35005,886
12006,596
24211,12493
24197,12465
289,2797
34216,858
38600,1042
48306,1974
40993,1196
19231,7999
8822,4479
17004,612
48617,2016
43341,1420
5116,3763
19756,8365
44127,1576
21499,9645
39962,1114
12044,5156
26005,15281
49508,2140
23635,11746
36146,935
16313,608
46244,1763
14085,5724
45457,1689
17047,6813
30799,743
42556,1337
34797,880
28397,672
38620,1044
22213,10314
14896,6012
32186,789
50285,2262
12338,597
9733,4661
21461,9598
13645,5598
19997,421
16189,6487
14584,5899
49180,2093
39450,1081
36592,952
50396,2275
2301,3164
38120,1017
36428,945
6081,3975
36739,957
11886,5123
22526,10626
1127,2920
31397,765
32074,787
9555,4626
41775,1261
43456,507
52845,2594
18614,7619
4528,3640
9571,4630
12593,5292
9235,4561
33245,827
14283,5799
50017,2218
23415,11464
4851,3713
21840,9955
4093,3536
46944,1823
27046,17265
18587,7602
26454,16149
6245,4011
4882,3720
49798,2188
1464,2982
26208,15745
15914,6381
32425,798
51175,544
32505,802
50716,2313
20340,625
51616,2407
46987,1829
5286,3801
30680,740
52014,2473
9889,4688
46918,1821
10494,4804
5878,3931
33191,462
15695,6291
41481,504
50082,2231
45716,1715
41930,1271
27461,18276
34134,855
20071,8580
1158,2925
27417,18166
6601,4082
47795,1915
8879,4490
26368,15959
14104,5733
47954,1933
34533,872
12092,5167
49983,2211
53716,2743
30555,735
50458,2285
17897,7245
34516,470
27275,17893
46897,1819
22558,10662
18739,7678
45841,526
8801,4477
8326,4398
18621,7627
46604,1799
39708,1098
38780,1052
39990,1115
45924,1734
28236,432
25577,14507
28002,661
11854,5111
19697,8311
33303,828
45605,1701
38112,1017
5981,3958
2299,3163
15548,6250
49659,2164
2186,3138
16000,608
46713,1812
28596,678
36604,953
40669,1169
32865,461
21679,9791
29574,706
13452,5535
19240,8004
35006,886
4660,3671
6394,4039
11813,5099
36917,965
648,2843
28606,678
21715,9828
23629,11737
1392,559
6014,3965
30459,734
9052,4520
4548,3644
25036,13622
45143,1662
15864,6355
24245,12549
6882,4134
24068,12285
40914,1187
53435,2698
21893,10012
31004,752
51511,545
13069,5423
42574,1338
6988,4155
9123,4538
16828,6730
10418,4788
45128,1662
6205,4004
4402,3610
25808,14949
36826,478
11061,4927
50982,2339
6233,4008
6253,4013
49193,2095
26458,16169
9861,4682
46236,1761
2990,3303
10263,4756
22708,10775
51703,2423
38145,382
6739,4103
1389,559
18729,7677
33981,852
196,2777
5262,3797
40962,1192
28533,675
11298,4988
14095,5729
44534,1609
768,2858
28922,686
12653,5309
9264,4566
20262,8718
47714,1909
12492,5262
18746,7683
32502,802
5078,3755
9683,589
28724,682
44137,1576
29446,703
24155,12401
49403,2129
22962,630
30159,723
14192,5765
36143,935
50583,2294
21794,9901
43174,1402
1442,2975
40389,1145
48609,2016
22199,10302
31442,765
15780,6328
26369,15962
52732,2583
26218,15762
52173,550
13047,5416
30767,743
4705,572
45614,1703
39816,492
16135,6465
29827,711
8761,4469
5133,3765
5438,3831
24026,12226
43236,1408
7462,4237
34226,860
33562,834
15170,6108
26341,15919
53585,2723
35291,899
911,2878
2772,3254
34491,469
2351,3174
37471,990
21992,628
45531,1694
37181,485
53719,2744
15192,6113
3942,3504
9641,4643
13433,5529
16071,6440
27814,655
49025,2072
2595,3219
7639,4269
2442,3188
52416,2536
1295,2954
15798,6335
2649,3234
48574,2010
1807,3054
27679,18804
2861,3276
24560,12944
40619,1163
43206,1406
8897,4495
9311,4580
918,2879
47672,1902
34925,882
1748,3042
31689,773
31859,776
32943,814
21968,10080
11606,5051
22120,10210
53591,2723
19990,421
15027,6052
4563,3649
49800,2188
40630,1163
4619,3668
8153,4363
11838,5107
27633,648
7811,4298
9270,4570
35299,900
15433,6194
11812,5099
2158,3130
42001,1279
16242,6512
33950,851
29383,702
34985,886
732,557
36797,960
16703,6666
37299,983
7658,4273
45623,1706
35417,905
7062,579
6964,4153
27346,18005
22508,10608
8568,4439
3269,3361
10586,4827
41428,1237
21666,627
8402,4405
16516,6613
53498,2703
5861,3924
40032,1116
37435,988
7936,4320
45150,1662
13842,5650
16981,6794
43776,512
22206,10309
22379,10454
8476,4420
50943,2335
18967,7826
26180,15680
53538,2714
33192,462
25590,14543
35581,910
47608,1892
11575,5045
30829,745
51468,2395
40856,1181
38144,382
11997,5152
43702,1446
46914,1821
52766,2588
5904,3938
33908,847
9918,4693
38357,1031
31431,765
42103,1291
17698,7140
52291,2513
21749,9870
8932,4499
6463,4057
25375,14184
39526,1087
29594,707
28713,681
17419,7001
21967,10080
43449,1432
13641,5595
14564,5889
41510,504
23770,11888
46796,1815
22323,628
27047,17265
20391,8789
46208,1758
39482,491
12618,5296
43625,1439
52690,2574
5999,3963
18439,7526
29302,698
3126,3328
25915,15169
28929,686
9828,4677
20814,9077
48449,1994
30967,751
11343,596
33072,816
31394,765
11463,5017
10536,4816
26948,17136
19634,8283
21297,9483
48804,2046
14128,5746
44982,1651
8842,4482
39706,1098
20667,625
4520,3639
19590,8251
43561,1436
43409,1428
24390,12707
15130,6096
21433,9574
1289,2952
42711,1356
13694,603
49675,2167
3935,3502
19454,8131
45552,1697
17928,7262
28442,673
20155,8638
12377,5234
24382,12693
13040,5412
1451,2978
1501,2993
14851,5994
47123,1843
11124,4943
2363,3176
2635,3230
45090,1657
34369,865
46038,1746
19793,8400
31884,453
38126,1018
48194,1960
49137,2090
32435,798
19490,8165
49295,2109
40933,1190
29498,705
51788,2440
26815,16811
44827,1636
41383,1235
30591,737
24407,12730
27342,17999
29177,698
45243,1666
37399,985
50171,2239
32897,812
13270,5494
44403,1604
51856,2444
5175,3775
42976,1385
3315,3374
23498,11560
8413,4407
17141,6860
38673,1046
24803,13275
17284,6947
2231,3146
4466,3624
24579,12970
19890,8481
13022,5410
3703,3452
30905,746
30770,743
38487,1039
44404,1604
27057,17312
52583,2558
1884,3075
24429,12756
457,2817
21728,9837
24096,12320
21051,9263
588,2835
44260,1583
44316,1591
20807,9072
26463,16179
33960,851
13966,5698
6098,3980
25023,13600
25016,13596
1344,2962
468,2818
50686,2309
20283,8736
13553,5557
49907,2201
47003,1832
26591,16459
12652,5308
37246,982
19452,8128
34825,373
48078,1949
6301,4027
48608,2016
52597,2559
43476,507
40094,1123
10568,4823
3289,3366
43909,1548
30741,743
4401,3610
53071,2637
31502,767
41184,1213
47783,1915
19345,8056
41598,1243
13857,5654
7091,4168
2826,3267
8735,4466
8374,584
21856,9972
17717,7150
43640,1440
37612,995
50698,2310
13883,5664
14384,5821
40504,1153
52581,2557
18453,7532
18014,615
11987,5151
2993,3303
18832,7740
15460,6209
2088,3113
47803,1916
32090,787
32433,798
33486,832
27442,18231
40256,1132
35701,914
30616,737
48172,535
35108,891
9113,4536
31517,368
42892,1372
30989,752
25410,14236
39333,1078
40796,499
53399,2692
9051,4520
31930,778
28358,670
3547,3416
31572,768
39603,1091
24095,12319
33322,828
30739,743
14797,5974
46647,1806
44985,1651
31013,753
3852,3478
33278,827
41423,1236
33578,836
27062,17323
38957,1059
48458,1996
38305,1026
24057,12268
24164,12415
25655,14618
15727,6302
37091,974
33738,844
17180,6885
4010,3521
36652,956
46899,1819
50510,544
7496,4241
51359,2383
16026,6416
12290,5223
10339,4773
13010,600
30530,447
31057,755
1992,3097
46096,1752
9097,4533
31979,780
31722,774
32216,455
24443,12778
35626,911
33425,829
21413,9555
5579,3868
53354,2685
48446,1993
8891,4493
19018,7840
8249,4381
40033,1116
49337,2116
30352,730
32384,795
1423,2972
436,2815
16929,6776
15602,6272
41062,1202
31244,759
46815,526
37347,984
47381,1868
21018,9240
52917,2608
7238,4197
30726,743
27638,648
38656,1046
21935,10051
46429,1783
19409,8098
10069,4712
52278,2513
5642,3881
32285,790
2743,3249
7247,4199
44975,1650
30513,734
40877,1183
38582,1041
52720,2580
18053,7314
35146,895
50651,2306
19382,8075
22171,10277
50883,2328
1565,3006
34994,886
16342,6541
30370,731
44647,1623
41769,1260
37535,990
53362,2686
45941,1737
11770,5088
3772,3461
5853,3923
21764,9882
37202,979
15731,6304
13197,5461
22014,10087
30256,727
35432,905
49397,2125
7725,4278
44069,1569
41704,1253
24499,12844
6144,3991
29151,695
34687,877
45520,526
47518,530
51964,2461
30281,729
13084,5429
43276,1412
37982,1013
24792,13250
15121,6093
20610,8943
10755,4858
16790,6713
28644,680
47116,1842
13618,5586
26786,16778
29073,692
5129,3763
43114,1400
48000,1940
35039,889
40955,1192
45728,1715
3242,3357
46629,1802
52524,2550
53657,2732
47210,1845
5144,3769
10189,4742
40482,498
36040,928
27980,660
979,2894
25925,15188
36852,480
20304,8743
50080,2231
11494,5026
48761,2041
17461,7035
6282,4022
18701,7658
29349,700
16647,421
23449,11511
21333,626
53163,552
20731,9012
